R_fighter,B_fighter,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Godofredo Pepey,Felipe Arantes,Brazil,Blue,FALSE,Featherweight,MALE,3,1,0,0,40.0,0.53,0.0,666.666.667,333.333.333,1,2,9,0,0,0,1,0,0,0,1,172.72,185.42,135,0,1,0,34.0,425,0.5,0.0,0.0,1,1,6,1,0,1,0,0,0,0,1,170.18,185.42,145,25,25,-1,-1,0,0,-1,3,-1,0,0,2.54,0.0,0,6.0,-0.5,666.666.667,,neither,KO/TKO,Elbows,1.0,03:32,212.0
Ildemar Alcantara,Leandro Silva,Brazil,Red,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,175.26,182.88,155,0,1,0,24.0,0.43,3.0,2.0,0.66,1,0,2,0,0,0,0,0,1,0,1,187.96,198.12,185,30,27,0,-1,-1,-1,0,-2,0,0,-1,-12.7,-15.24,3,-24.0,-3.0,-2.0,,neither,U-DEC,,3.0,05:00,900.0
Rodrigo Damm,Mizuto Hirota,Brazil,Red,FALSE,Featherweight,MALE,3,1,0,0,4.0,0.28,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,170.18,170.18,155,1,0,0,30.5,415,0.5,0.0,0.0,1,1,4,0,0,0,0,0,1,0,1,170.18,180.34,155,33,32,0,0,-1,-1,0,-1,0,0,-1,0.0,-10.16,1,-26.5,-0.5,1.0,,neither,S-DEC,,3.0,05:00,900.0
Caio Magalhaes,Karlos Vemola,Brazil,Red,FALSE,Middleweight,MALE,3,1,0,0,12.2,392,1.2,1.0,324,1,3,11,0,0,0,0,1,1,0,2,182.88,190.5,185,1,0,0,22.0,0.23,0.0,2.0,0.13,0,1,3,0,0,0,0,0,0,0,0,185.42,185.42,185,25,27,0,0,1,2,-2,8,0,1,1,-2.54,05.08,-2,-9.8,1.2,-1.0,,neither,SUB,Rear Naked Choke,2.0,02:49,469.0
Antonio Braga Neto,Anthony Smith,Brazil,Red,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,193.04,193.04,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,190.5,195.58,185,25,24,0,0,0,0,0,0,0,0,0,2.54,-2.54,1,0.0,0.0,0.0,,neither,SUB,Kneebar,1.0,01:52,112.0
Cain Velasquez,Antonio Silva,USA,Red,TRUE,Heavyweight,MALE,5,0,2,0,1.233.333.333,0.56,0.0,0.0,0.0,2,1,5,0,0,0,0,2,0,0,2,193.04,203.2,264,0,2,0,43.9,0.59,0.2,2.7,478,7,1,18,3,0,0,2,7,0,0,9,185.42,195.58,240,30,33,0,0,-5,-7,0,-13,-3,-5,0,7.62,7.62,-3,-3.156.666.667,-0.2,-2.7,,Red,KO/TKO,Punch,1.0,01:21,81.0
Junior Dos Santos,Mark Hunt,USA,Red,FALSE,Heavyweight,MALE,3,0,4,0,24.0,0.45,0.2,0.8,0.4,4,1,10,0,0,0,1,3,0,0,4,177.8,182.88,265,1,0,0,46.5,532,0.0,0.3,0.15,9,1,21,3,0,0,2,7,0,0,9,193.04,195.58,238,29,39,1,4,-5,-5,0,-11,-3,-4,0,-15.24,-12.7,-10,-22.5,0.2,0.5,,Red,KO/TKO,Kick,3.0,04:18,858.0
Glover Teixeira,James Te Huna,USA,Red,FALSE,Light Heavyweight,MALE,3,0,4,0,3.766.666.667,0.65,166.666.667,1.833.333.333,246.666.667,4,1,12,0,0,0,2,3,0,0,5,187.96,190.5,185,0,3,0,60.0,506.666.667,666.666.667,2.666.666.667,666.666.667,3,0,6,0,0,0,1,0,1,1,3,187.96,193.04,205,33,31,0,1,1,2,-1,6,0,2,-1,0.0,-2.54,2,-2.233.333.333,-0.5,-833.333.334,,Red,SUB,Guillotine Choke,1.0,02:38,158.0
Gray Maynard,TJ Grant,USA,Blue,FALSE,Lightweight,MALE,3,0,4,0,48.4,517,0.5,1.4,336,4,3,26,0,0,1,3,2,1,0,7,177.8,182.88,155,0,1,0,3.066.666.667,363.333.333,0.75,2.583.333.333,501.666.667,8,3,38,2,0,3,5,1,0,0,9,175.26,177.8,155,34,29,0,3,-4,-2,0,-12,-2,1,1,2.54,05.08,5,1.773.333.333,-0.25,-1.183.333.333,,Red,KO/TKO,Punches,1.0,02:07,127.0
Donald Cerrone,KJ Noons,USA,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,155,1,0,0,44.125,465,0.25,0.5,135,4,2,15,0,0,0,2,2,2,0,6,185.42,185.42,155,30,30,1,0,-4,-6,2,-15,0,-2,-2,-7.62,-2.54,0,-44.125,-0.25,-0.5,,Red,U-DEC,,3.0,05:00,900.0
Mike Pyle,Rick Story,USA,Red,FALSE,Welterweight,MALE,3,0,1,0,3.841.666.667,408.333.333,1.083.333.333,2.5,5.875,6,4,30,0,0,2,3,2,1,0,8,175.26,180.34,170,0,3,0,19.0,0.43,0.8,1.1,254,3,3,19,0,0,0,2,3,2,0,7,182.88,187.96,170,37,28,0,-2,3,1,-1,11,0,-1,-1,-7.62,-7.62,9,1.941.666.667,283.333.333,1.4,,neither,S-DEC,,3.0,05:00,900.0
Dennis Bermudez,Max Holloway,USA,Red,FALSE,Featherweight,MALE,3,0,3,0,69.5,3.625,0.0,0.0,0.0,3,1,9,0,0,1,1,1,0,0,3,180.34,175.26,155,0,3,0,50.5,4.625,1.25,2.5,595,3,1,8,1,0,1,1,0,1,0,3,167.64,167.64,155,26,21,0,0,0,0,0,1,-1,1,-1,12.7,7.62,5,19.0,-1.25,-2.5,,neither,S-DEC,,3.0,05:00,900.0
Colton Smith,Robert Whittaker,USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,83.0,0.41,0.0,0.0,0.0,1,0,3,1,0,0,1,0,0,0,1,182.88,185.42,185,0,1,0,15.0,0.83,1.0,7.0,0.43,1,0,3,1,0,0,1,0,0,0,1,182.88,180.34,155,25,22,0,0,0,0,0,0,0,0,0,0.0,05.08,3,68.0,-1.0,-7.0,,neither,KO/TKO,Punch,3.0,00:41,641.0
Khabib Nurmagomedov,Abel Trujillo,USA,Red,FALSE,Lightweight,MALE,3,0,1,0,57.0,0.76,2.0,1.0,1.0,1,0,2,0,0,0,0,1,0,0,1,172.72,177.8,155,0,3,0,2.733.333.333,463.333.333,333.333.333,1.0,0.11,3,0,7,0,0,0,1,1,1,0,3,177.8,177.8,155,24,29,0,-2,-2,-2,0,-5,0,0,-1,-5.08,0.0,-5,2.966.666.667,1.666.666.667,0.0,,neither,U-DEC,,3.0,05:00,900.0
Stephen Thompson,Nah-Shon Burrell,USA,Red,FALSE,Welterweight,MALE,3,0,1,0,121.0,0.56,1.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,180.34,185.42,170,1,0,0,44.5,535,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,182.88,190.5,170,30,23,1,1,0,0,1,-1,0,-1,0,-2.54,-5.08,7,76.5,1.0,0.0,,neither,U-DEC,,3.0,05:00,900.0
Brian Bowles,George Roop,USA,Blue,FALSE,Bantamweight,MALE,3,0,1,0,36.75,3.475,125,625,3.325,1,5,20,0,0,1,1,1,0,0,3,185.42,182.88,135,1,0,0,2.033.333.333,276.666.667,333.333.333,666.666.667,666.666.667,2,1,6,0,0,0,1,0,1,0,2,170.18,177.8,135,32,31,1,1,-1,1,-4,14,0,1,-1,15.24,05.08,1,1.641.666.667,-208.333.333,-41.666.667,,Red,KO/TKO,Punch,2.0,01:43,403.0
Jeremy Stephens,Estevan Payan,USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,145,3,0,0,3.086.666.667,436,533.333.333,1.2,348,2,8,38,0,0,1,2,3,0,1,7,172.72,180.34,145,27,31,3,0,-2,-7,8,-38,0,-4,0,05.08,2.54,-4,-3.086.666.667,-533.333.333,-1.2,,neither,U-DEC,,3.0,05:00,900.0
Vitor Belfort,Luke Rockhold,Brazil,Red,FALSE,Middleweight,MALE,5,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,190.5,195.58,185,0,1,0,1.064.705.882,500.588.235,470.588.235,352.941.176,161.764.706,3,6,27,5,0,0,0,8,2,1,11,182.88,187.96,185,36,28,0,-1,-3,-11,6,-27,-5,-9,-2,7.62,7.62,8,-1.064.705.882,-470.588.235,-352.941.176,,Red,KO/TKO,Kick,1.0,02:32,152.0
Jacare Souza,Chris Camozzi,Brazil,Red,FALSE,Middleweight,MALE,3,0,4,0,50.125,4.475,375,0.0,0.0,4,2,22,0,0,2,2,0,1,1,6,187.96,193.04,185,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,185.42,182.88,185,33,26,0,4,4,6,-2,22,0,1,1,2.54,10.16,7,50.125,375,0.0,,neither,SUB,Arm Triangle,1.0,03:37,217.0
Rafael Dos Anjos,Evan Dunham,Brazil,Red,FALSE,Lightweight,MALE,3,0,1,0,60.9,0.39,1.2,1.3,378,4,3,25,0,0,3,1,1,1,1,7,177.8,177.8,155,0,3,0,28.0,376.363.636,818.181.818,2.181.818.182,318.181.818,3,4,28,0,0,0,4,1,2,0,7,172.72,177.8,170,28,31,0,-2,1,0,1,-3,0,1,-1,05.08,0.0,-3,32.9,381.818.182,-881.818.182,,Red,U-DEC,,3.0,05:00,900.0
Rafael Natal,Joao Zeferino,Brazil,Red,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,0,1,0,4.283.333.333,483.333.333,1.0,3.166.666.667,378.333.333,2,3,17,0,0,0,2,0,1,0,3,182.88,193.04,185,30,27,0,-1,-2,-3,3,-17,0,0,-1,-2.54,-7.62,3,-4.283.333.333,-1.0,-3.166.666.667,,neither,U-DEC,,3.0,05:00,900.0
Hacran Dias,Nik Lentz,Brazil,Blue,FALSE,Featherweight,MALE,3,0,2,0,4.036.363.636,548.181.818,1.454.545.455,3.727.272.727,387.272.727,4,4,29,0,0,1,4,1,1,0,7,172.72,172.72,155,0,1,0,19.0,0.43,0.0,5.0,0.5,1,0,3,0,0,0,1,0,0,0,1,172.72,175.26,155,28,28,0,1,3,6,-4,26,0,1,1,0.0,-2.54,0,2.136.363.636,1.454.545.455,-1.272.727.273,,Blue,U-DEC,,3.0,05:00,900.0
Francisco Trinaldo,Mike Rio,Brazil,Red,FALSE,Lightweight,MALE,3,0,1,0,30.0,0.44,1.0,4.0,0.36,1,0,3,0,0,0,0,0,1,0,1,177.8,180.34,155,0,1,0,26.0,0.63,1.0,666.666.667,133.333.333,1,1,6,0,0,0,0,1,1,0,2,175.26,177.8,155,34,31,0,0,0,-1,1,-3,0,-1,0,2.54,2.54,3,4.0,0.0,3.333.333.333,,neither,SUB,Arm Triangle,1.0,03:08,188.0
Gleison Tibau,John Cholish,Brazil,Red,FALSE,Lightweight,MALE,3,1,0,0,42.0,0.51,0.0,1.0,0.16,1,1,5,0,0,0,0,1,0,0,1,180.34,182.88,155,1,0,0,2.194.444.444,356.666.667,833.333.333,3.722.222.222,572.777.778,3,7,45,0,0,2,5,1,3,0,11,177.8,180.34,155,29,29,0,0,-2,-10,6,-40,0,0,-3,2.54,2.54,0,2.005.555.556,-833.333.333,-2.722.222.222,,neither,SUB,Guillotine Choke,2.0,02:34,454.0
Paulo Thiago,Michel Prazeres,Brazil,Red,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,170,2,0,0,1.388.888.889,0.32,1.333.333.333,1.111.111.111,215.555.556,2,5,22,0,0,0,2,1,1,0,4,180.34,185.42,170,32,31,2,0,-2,-4,5,-22,0,-1,-1,-12.7,-15.24,1,-1.388.888.889,-1.333.333.333,-1.111.111.111,,neither,U-DEC,,3.0,05:00,900.0
Iuri Alcantara,Iliarde Santos,Brazil,Red,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,165.1,167.64,125,2,0,0,30.25,4.675,1.0,1.75,0.5,2,2,10,0,0,0,2,0,0,0,2,175.26,180.34,135,32,32,2,0,-2,-2,2,-10,0,0,0,-10.16,-12.7,0,-30.25,-1.0,-1.75,,neither,KO/TKO,Punch,1.0,02:31,151.0
Fabio Maldonado,Roger Hollett,Brazil,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,26.0,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,180.34,177.8,205,3,0,0,68.75,0.56,1.0,0.5,0.25,1,3,11,0,0,0,0,1,0,0,1,185.42,190.5,205,33,34,2,0,-1,-1,2,-8,0,-1,0,-5.08,-12.7,-1,-42.75,-1.0,-0.5,,neither,U-DEC,,3.0,05:00,900.0
John Lineker,Azamat Gashimov,Brazil,Red,FALSE,Flyweight,MALE,3,1,0,0,4.0,0.3,0.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,167.64,167.64,125,0,1,0,86.5,395,0.0,0.0,0.0,1,1,5,0,0,0,1,0,0,0,1,160.02,170.18,135,22,23,-1,-1,-1,-1,0,-4,0,0,0,7.62,-2.54,-1,-82.5,0.0,1.0,,Red,KO/TKO,Punch,2.0,01:07,367.0
Jussier Formiga,Chris Cariaso,Brazil,Red,FALSE,Flyweight,MALE,3,1,0,0,51.5,488.333.333,166.666.667,1.166.666.667,318.333.333,3,2,18,0,0,1,3,0,0,0,4,160.02,160.02,125,1,0,0,9.0,0.24,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,165.1,170.18,125,28,31,0,0,3,4,-1,16,0,0,0,-5.08,-10.16,-3,42.5,166.666.667,1.166.666.667,,Blue,U-DEC,,3.0,05:00,900.0
Lucas Martins,Jeremy Larsen,Brazil,Red,FALSE,Lightweight,MALE,3,1,0,0,13.0,0.44,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,177.8,177.8,145,1,0,0,12.0,0.38,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,182.88,182.88,145,24,28,0,0,0,0,0,0,0,0,0,-5.08,-5.08,-4,1.0,0.0,0.0,,neither,KO/TKO,Punch,3.0,00:13,613.0
Jon Jones,Chael Sonnen,USA,Red,TRUE,Light Heavyweight,MALE,5,1,0,0,36.0,495.454.545,181.818.182,3.181.818.182,498.181.818,3,5,29,2,0,0,5,0,1,0,6,185.42,187.96,205,0,8,0,4.433.333.333,555,666.666.667,1.916.666.667,674.166.667,8,1,31,5,0,0,3,3,5,0,11,193.04,213.36,205,25,36,-1,-8,-5,-5,-4,-2,-3,-3,-4,-7.62,-25.4,-11,-833.333.333,-484.848.485,1.265.151.515,,Red,KO/TKO,Punches,1.0,04:33,273.0
Michael Bisping,Alan Belcher,USA,Red,FALSE,Middleweight,MALE,3,1,0,0,24.5,410.714.286,571.428.571,285.714.286,188.571.429,4,5,28,0,0,1,0,4,3,1,9,187.96,185.42,185,1,0,0,4.744.444.444,406.111.111,277.777.778,1.444.444.444,371.111.111,4,5,42,1,0,1,4,8,0,0,13,185.42,190.5,185,34,29,0,0,0,-4,0,-14,-1,-3,3,2.54,-5.08,5,-2.294.444.444,293.650.793,-1.158.730.158,,Red,U-DEC,,3.0,04:31,871.0
Roy Nelson,Cheick Kongo,USA,Red,FALSE,Heavyweight,MALE,3,0,1,0,3.352.941.176,574.705.882,176.470.588,1.411.764.706,425.882.353,3,6,36,0,1,0,3,6,0,1,11,193.04,208.28,240,0,2,0,20.125,4.175,125,375,1.875,2,3,16,1,0,0,0,5,0,0,5,182.88,182.88,263,36,37,0,-1,1,6,-3,20,-1,2,0,10.16,25.4,-1,1.340.441.176,51.470.588,1.036.764.706,,Red,KO/TKO,Punch,1.0,02:03,123.0
Phil Davis,Vinny Magalhaes,USA,Red,FALSE,Light Heavyweight,MALE,3,0,1,0,1.766.666.667,0.4,666.666.667,1.0,0.33,1,2,6,1,0,0,0,0,1,0,1,190.5,200.66,205,0,1,0,35.0,48.625,0.75,2.5,51.375,5,2,20,0,0,0,3,0,3,0,6,187.96,200.66,205,28,28,0,0,-4,-5,0,-14,1,0,-2,2.54,0.0,0,-1.733.333.333,-83.333.333,-1.5,,Red,U-DEC,,3.0,05:00,900.0
Rustam Khabilov,Yancy Medeiros,USA,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,177.8,190.5,155,0,1,0,13.0,0.68,0.0,5.0,0.83,1,0,1,0,0,0,0,1,0,0,1,172.72,185.42,155,26,25,0,-1,-1,-1,0,-1,0,-1,0,05.08,05.08,1,-13.0,0.0,-5.0,,neither,KO/TKO,,1.0,02:32,152.0
Gian Villante,Ovince Saint Preux,USA,Blue,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,190.5,203.2,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,190.5,193.04,205,27,30,0,0,0,0,0,0,0,0,0,0.0,10.16,-3,0.0,0.0,0.0,,neither,M-DEC,,3.0,00:33,633.0
Sara McMann,Sheila Gaff,USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,165.1,157.48,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,167.64,167.64,135,32,23,0,0,0,0,0,0,0,0,0,-2.54,-10.16,9,0.0,0.0,0.0,,Red,KO/TKO,Punches,1.0,04:06,246.0
Bryan Caraway,Johnny Bedford,USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,58.0,0.57,0.0,2.5,0.83,2,0,5,0,0,0,0,2,0,0,2,177.8,180.34,135,1,0,0,2.366.666.667,0.36,1.0,2.666.666.667,496.666.667,2,1,8,0,0,0,0,0,2,0,2,172.72,172.72,135,28,30,1,2,0,0,1,-3,0,2,-2,05.08,7.62,-2,3.433.333.333,-1.0,-166.666.667,,neither,SUB,Guillotine Choke,3.0,04:44,884.0
Leonard Garcia,Cody McKenzie,USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,6.6,172,1.0,0.6,244,1,3,7,0,0,0,0,0,2,0,2,182.88,182.88,155,4,0,0,39.875,29.875,375,0.5,145,1,6,21,0,0,1,0,0,1,0,2,177.8,175.26,145,33,25,3,0,0,0,3,-14,0,0,1,05.08,7.62,8,-33.275,625,0.1,,neither,U-DEC,,3.0,05:00,900.0
Steven Siler,Kurt Holobaugh,USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,177.8,155,1,0,0,45.0,0.49,1.25,0.5,1.225,3,1,10,0,0,0,2,0,1,0,3,180.34,177.8,145,26,26,1,0,-3,-3,1,-10,0,0,-1,0.0,0.0,0,-45.0,-1.25,-0.5,,neither,U-DEC,,3.0,05:00,900.0
Benson Henderson,Gilbert Melendez,USA,Red,TRUE,Lightweight,MALE,5,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,175.26,185.42,145,0,6,0,7.266.666.667,448.333.333,1.0,3.5,615,6,0,24,3,0,1,5,0,0,0,6,175.26,177.8,170,29,31,0,-6,-6,-6,0,-24,-3,0,0,0.0,7.62,-2,-7.266.666.667,-1.0,-3.5,,Red,S-DEC,,5.0,05:00,1500.0
Frank Mir,Daniel Cormier,USA,Blue,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,235,1,0,0,12.6,5.155,1.0,0.95,326,4,6,30,5,0,0,2,3,8,0,14,190.5,200.66,264,33,34,1,0,-4,-14,6,-30,-5,-3,-8,-10.16,-17.78,-1,-12.6,-1.0,-0.95,,Blue,U-DEC,,3.0,05:00,900.0
Nate Diaz,Josh Thomson,USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,2.133.333.333,593.333.333,0.0,1.666.666.667,773.333.333,2,1,5,0,1,0,0,1,0,0,2,177.8,180.34,155,1,0,0,4.394.117.647,0.43,1.294.117.647,823.529.412,322.352.941,5,6,41,2,0,1,1,1,8,0,11,182.88,193.04,170,28,34,0,0,-3,-9,5,-36,-2,0,-8,-5.08,-12.7,-6,-2.260.784.314,-1.294.117.647,843.137.255,,Red,KO/TKO,Kick,2.0,03:44,524.0
Matt Brown,Jordan Mein,USA,Red,FALSE,Welterweight,MALE,3,0,1,0,29.0,0.54,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,182.88,185.42,170,0,4,0,3.042.857.143,590.714.286,1.214.285.714,1.071.428.571,461.428.571,4,5,31,0,0,0,2,6,1,0,9,182.88,190.5,170,32,23,0,-3,-3,-8,5,-30,0,-5,-1,0.0,-5.08,9,-142.857.143,-1.214.285.714,-1.071.428.571,,neither,KO/TKO,Elbows,2.0,01:00,360.0
Chad Mendes,Darren Elkins,USA,Red,FALSE,Featherweight,MALE,3,0,5,0,2.842.857.143,278.571.429,1.428.571.429,1.571.428.571,417.142.857,5,1,15,0,0,0,4,2,0,0,6,177.8,180.34,145,0,2,0,24.4,0.65,0.0,1.8,0.28,2,1,9,1,0,0,2,2,0,0,4,167.64,167.64,145,27,28,0,3,3,2,0,6,-1,0,0,10.16,12.7,-1,402.857.143,1.428.571.429,-228.571.429,,Red,KO/TKO,Punch,1.0,01:08,68.0
Francis Carmont,Lorenz Larkin,USA,Red,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,170,0,4,0,29.25,6.275,1.0,1.25,375,4,0,10,0,0,1,1,0,2,0,4,190.5,198.12,205,31,26,0,-4,-4,-4,0,-10,0,0,-2,-10.16,-15.24,5,-29.25,-1.0,-1.25,,neither,U-DEC,,3.0,05:00,900.0
Ramsey Nijem,Myles Jury,USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,34.0,0.35,1.0,1.5,0.25,2,0,4,0,0,0,1,0,1,0,2,177.8,185.42,145,0,3,0,31.25,4.275,1.0,3.5,0.35,3,1,8,1,0,0,2,1,0,0,3,180.34,190.5,155,25,24,0,-1,-1,-1,1,-4,-1,-1,1,-2.54,-5.08,1,2.75,0.0,-2.0,,neither,KO/TKO,Punch,2.0,01:02,362.0
Joseph Benavidez,Darren Uyenoyama,USA,Red,FALSE,Flyweight,MALE,3,0,2,0,11.0,495,1.5,1.0,0.33,2,0,5,0,0,0,1,0,1,0,2,167.64,162.56,125,0,1,0,46.6,336,0.6,1.2,98,3,1,16,1,0,0,3,1,0,0,4,162.56,165.1,125,28,33,0,1,-1,-2,1,-11,-1,-1,1,05.08,-2.54,-5,-35.6,0.9,-0.2,,Red,KO/TKO,Punch,2.0,04:50,590.0
Tim Means,Jorge Masvidal,USA,Blue,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,187.96,170,0,2,0,54.5,545,0.0,0.0,0.0,2,0,4,0,0,0,1,1,0,0,2,187.96,190.5,170,29,28,0,-2,-2,-2,0,-4,0,-1,0,-7.62,-2.54,1,-54.5,0.0,0.0,,neither,U-DEC,,3.0,05:00,900.0
TJ Dillashaw,Hugo Viana,USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,43.5,0.51,0.0,0.0,0.0,2,0,4,0,0,1,0,1,0,0,2,167.64,170.18,135,0,3,0,30.0,3.825,1.5,1.75,435,3,1,7,1,0,0,1,1,1,0,3,167.64,170.18,125,27,30,0,-1,-1,-1,1,-3,-1,0,-1,0.0,0.0,-3,13.5,-1.5,-1.75,,neither,KO/TKO,Punches,1.0,04:22,262.0
Anthony Njokuani,Roger Bowling,USA,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,175.26,172.72,155,1,0,0,67.4,0.44,0.2,0.6,332,1,3,15,0,0,0,2,0,0,0,2,185.42,190.5,155,33,30,1,0,-1,-2,3,-15,0,0,0,-10.16,-17.78,3,-67.4,-0.2,-0.6,,neither,KO/TKO,Punch,2.0,02:52,472.0
Clifford Starks,Yoel Romero,USA,Blue,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,182.88,185.42,185,1,0,0,21.0,375,0.0,1.5,0.5,1,1,5,0,0,0,1,0,0,0,1,182.88,195.58,185,31,35,1,0,-1,-1,1,-5,0,0,0,0.0,-10.16,-4,-21.0,0.0,-1.5,,neither,KO/TKO,Flying Knee,1.0,01:32,92.0
Urijah Faber,Scott Jorgensen,USA,Red,FALSE,Bantamweight,MALE,5,0,1,0,38.0,454,0.2,1.2,0.4,2,2,10,0,0,0,1,1,1,0,3,165.1,167.64,135,0,1,0,42.4,0.47,0.4,0.8,276,1,2,16,2,0,0,1,0,2,0,3,167.64,170.18,135,33,30,0,0,1,0,0,-6,-2,1,-1,-2.54,-2.54,3,-4.4,-0.2,0.4,,Red,SUB,Rear Naked Choke,4.0,03:16,1096.0
Uriah Hall,Kelvin Gastelum,USA,Blue,TRUE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,185,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,182.88,200.66,185,28,21,0,0,0,0,0,0,0,0,0,-7.62,-20.32,7,0.0,0.0,0.0,,neither,S-DEC,,3.0,05:00,900.0
Miesha Tate,Cat Zingano,USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,167.64,172.72,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,167.64,165.1,135,26,30,0,0,0,0,0,0,0,0,0,0.0,7.62,-4,0.0,0.0,0.0,,Red,KO/TKO,Knees,3.0,02:55,775.0
Travis Browne,Gabriel Gonzaga,USA,Red,FALSE,Heavyweight,MALE,3,0,2,0,1.442.857.143,511.428.571,714.285.714,1.285.714.286,577.857.143,4,5,23,1,0,0,0,5,4,0,9,187.96,193.04,242,1,0,0,1.916.666.667,431.666.667,333.333.333,1.166.666.667,526.666.667,3,2,10,0,0,0,1,2,1,0,4,198.12,200.66,255,30,33,1,2,1,5,-3,13,1,3,3,-10.16,-7.62,-3,-473.809.524,380.952.381,119.047.619,,neither,KO/TKO,Elbows,1.0,01:11,71.0
